,chip,code,C,R,F,label,count,probability,date,date_index,dataset,concentration
25,3,1,0,0,1,¬C¬RF,55.0,0.3142857142857143,20230313,2,13,4.5
29,3,5,1,0,1,C¬RF,3.0,0.0071942446043165,20230111,2,10,4.5
30,3,6,1,1,0,CR¬F,0.0,0.0,20230111,2,10,4.5
28,3,4,1,0,0,C¬R¬F,1.0,0.0023980815347721,20230111,2,10,4.5
24,3,0,0,0,0,¬C¬R¬F,0.0,0.0,20230313,2,13,4.5
31,3,7,1,1,1,CRF,14.0,0.0335731414868105,20230111,2,10,4.5
20,2,4,1,0,0,C¬R¬F,0.0,0.0,20221012,1,4,5.0
38,4,6,1,1,0,CR¬F,,,20221031,1,6,5.0
37,4,5,1,0,1,C¬RF,,,20221031,1,6,5.0
36,4,4,1,0,0,C¬R¬F,,,20221031,1,6,5.0
35,4,3,0,1,1,¬CRF,,,20221031,1,6,5.0
34,4,2,0,1,0,¬CR¬F,,,20221031,1,6,5.0
33,4,1,0,0,1,¬C¬RF,,,20221031,1,6,5.0
32,4,0,0,0,0,¬C¬R¬F,,,20221031,1,6,5.0
24,3,0,0,0,0,¬C¬R¬F,386.0,0.8914549653579676,20220628,1,2,5.0
25,3,1,0,0,1,¬C¬RF,0.0,0.0,20220628,1,2,5.0
26,3,2,0,1,0,¬CR¬F,9.0,0.0207852193995381,20220628,1,2,5.0
27,3,3,0,1,1,¬CRF,0.0,0.0,20220628,1,2,5.0
28,3,4,1,0,0,C¬R¬F,38.0,0.0877598152424942,20220628,1,2,5.0
29,3,5,1,0,1,C¬RF,0.0,0.0,20220628,1,2,5.0
30,3,6,1,1,0,CR¬F,0.0,0.0,20220628,1,2,5.0
31,3,7,1,1,1,CRF,0.0,0.0,20220628,1,2,5.0
39,4,7,1,1,1,CRF,,,20221031,1,6,5.0
38,4,6,1,1,0,CR¬F,0.0,0.0,20221013,1,5,5.0
37,4,5,1,0,1,C¬RF,0.0,0.0,20221013,1,5,5.0
36,4,4,1,0,0,C¬R¬F,0.0,0.0,20221013,1,5,5.0
35,4,3,0,1,1,¬CRF,71.0,0.6068376068376068,20221013,1,5,5.0
34,4,2,0,1,0,¬CR¬F,13.0,0.1111111111111111,20221013,1,5,5.0
33,4,1,0,0,1,¬C¬RF,31.0,0.2649572649572649,20221013,1,5,5.0
32,4,0,0,0,0,¬C¬R¬F,1.0,0.0085470085470085,20221013,1,5,5.0
16,2,0,0,0,0,¬C¬R¬F,1.0,0.1111111111111111,20221012,1,4,5.0
17,2,1,0,0,1,¬C¬RF,0.0,0.0,20221012,1,4,5.0
18,2,2,0,1,0,¬CR¬F,7.0,0.7777777777777778,20221012,1,4,5.0
19,2,3,0,1,1,¬CRF,1.0,0.1111111111111111,20221012,1,4,5.0
21,2,5,1,0,1,C¬RF,0.0,0.0,20221012,1,4,5.0
39,4,7,1,1,1,CRF,1.0,0.0085470085470085,20221013,1,5,5.0
22,2,6,1,1,0,CR¬F,0.0,0.0,20221012,1,4,5.0
37,4,5,1,0,1,C¬RF,0.0,0.0,20221031,2,7,5.0
37,4,5,1,0,1,C¬RF,1.0,0.0147058823529411,20230313,2,13,5.0
36,4,4,1,0,0,C¬R¬F,0.0,0.0,20230313,2,13,5.0
35,4,3,0,1,1,¬CRF,41.0,0.6029411764705882,20230313,2,13,5.0
34,4,2,0,1,0,¬CR¬F,10.0,0.1470588235294117,20230313,2,13,5.0
33,4,1,0,0,1,¬C¬RF,16.0,0.2352941176470588,20230313,2,13,5.0
32,4,0,0,0,0,¬C¬R¬F,0.0,0.0,20230313,2,13,5.0
35,4,3,0,1,1,¬CRF,382.0,0.8642533936651584,20230111,2,10,5.0
36,4,4,1,0,0,C¬R¬F,1.0,0.002262443438914,20230111,2,10,5.0
37,4,5,1,0,1,C¬RF,7.0,0.0158371040723981,20230111,2,10,5.0
39,4,7,1,1,1,CRF,0.0,0.0,20221031,2,7,5.0
38,4,6,1,1,0,CR¬F,0.0,0.0,20221031,2,7,5.0
39,4,7,1,1,1,CRF,0.0,0.0,20230313,2,13,5.0
36,4,4,1,0,0,C¬R¬F,0.0,0.0,20221031,2,7,5.0
35,4,3,0,1,1,¬CRF,1.0,0.3333333333333333,20221031,2,7,5.0
34,4,2,0,1,0,¬CR¬F,2.0,0.6666666666666666,20221031,2,7,5.0
33,4,1,0,0,1,¬C¬RF,0.0,0.0,20221031,2,7,5.0
32,4,0,0,0,0,¬C¬R¬F,0.0,0.0,20221031,2,7,5.0
23,2,7,1,1,1,CRF,0.0,0.0,20221012,1,4,5.0
38,4,6,1,1,0,CR¬F,1.0,0.002262443438914,20230111,2,10,5.0
39,4,7,1,1,1,CRF,18.0,0.0407239819004524,20230111,2,10,5.0
34,4,2,0,1,0,¬CR¬F,17.0,0.0384615384615384,20230111,2,10,5.0
33,4,1,0,0,1,¬C¬RF,16.0,0.0361990950226244,20230111,2,10,5.0
32,4,0,0,0,0,¬C¬R¬F,0.0,0.0,20230111,2,10,5.0
38,4,6,1,1,0,CR¬F,0.0,0.0,20230313,2,13,5.0
42,5,2,0,1,0,¬CR¬F,29.0,0.0973154362416107,20230111,2,10,6.0
43,5,3,0,1,1,¬CRF,1.0,0.1666666666666666,20230313,2,13,6.0
41,5,1,0,0,1,¬C¬RF,0.0,0.0,20230313,2,13,6.0
42,5,2,0,1,0,¬CR¬F,3.0,0.5,20230313,2,13,6.0
47,5,7,1,1,1,CRF,10.0,0.0335570469798657,20230111,2,10,6.0
46,5,6,1,1,0,CR¬F,3.0,0.0100671140939597,20230111,2,10,6.0
41,5,1,0,0,1,¬C¬RF,33.0,0.110738255033557,20230111,2,10,6.0
44,5,4,1,0,0,C¬R¬F,0.0,0.0,20230313,2,13,6.0
45,5,5,1,0,1,C¬RF,1.0,0.1666666666666666,20230313,2,13,6.0
45,5,5,1,0,1,C¬RF,3.0,0.0100671140939597,20230111,2,10,6.0
44,5,4,1,0,0,C¬R¬F,0.0,0.0,20230111,2,10,6.0
40,5,0,0,0,0,¬C¬R¬F,1.0,0.0033557046979865,20230111,2,10,6.0
40,5,0,0,0,0,¬C¬R¬F,0.0,0.0,20230313,2,13,6.0
43,5,3,0,1,1,¬CRF,219.0,0.7348993288590604,20230111,2,10,6.0
47,5,7,1,1,1,CRF,,,20221031,1,6,6.0
46,5,6,1,1,0,CR¬F,0.0,0.0,20221031,2,7,6.0
29,3,5,1,0,1,C¬RF,,,20221012,1,4,6.0
28,3,4,1,0,0,C¬R¬F,,,20221012,1,4,6.0
27,3,3,0,1,1,¬CRF,,,20221012,1,4,6.0
26,3,2,0,1,0,¬CR¬F,,,20221012,1,4,6.0
25,3,1,0,0,1,¬C¬RF,,,20221012,1,4,6.0
24,3,0,0,0,0,¬C¬R¬F,,,20221012,1,4,6.0
47,5,7,1,1,1,CRF,0.0,0.0,20221031,2,7,6.0
39,4,7,1,1,1,CRF,0.0,0.0,20220628,1,2,6.0
38,4,6,1,1,0,CR¬F,1.0,0.0023696682464454,20220628,1,2,6.0
37,4,5,1,0,1,C¬RF,0.0,0.0,20220628,1,2,6.0
36,4,4,1,0,0,C¬R¬F,1.0,0.0023696682464454,20220628,1,2,6.0
35,4,3,0,1,1,¬CRF,1.0,0.0023696682464454,20220628,1,2,6.0
34,4,2,0,1,0,¬CR¬F,44.0,0.1042654028436018,20220628,1,2,6.0
33,4,1,0,0,1,¬C¬RF,1.0,0.0023696682464454,20220628,1,2,6.0
32,4,0,0,0,0,¬C¬R¬F,374.0,0.8862559241706162,20220628,1,2,6.0
23,2,7,1,1,1,CRF,0.0,0.0,20220602,1,1,6.0
22,2,6,1,1,0,CR¬F,0.0,0.0,20220602,1,1,6.0
21,2,5,1,0,1,C¬RF,0.0,0.0,20220602,1,1,6.0
20,2,4,1,0,0,C¬R¬F,0.0,0.0,20220602,1,1,6.0
19,2,3,0,1,1,¬CRF,3.0,0.1153846153846153,20220602,1,1,6.0
18,2,2,0,1,0,¬CR¬F,19.0,0.7307692307692307,20220602,1,1,6.0
17,2,1,0,0,1,¬C¬RF,2.0,0.0769230769230769,20220602,1,1,6.0
16,2,0,0,0,0,¬C¬R¬F,2.0,0.0769230769230769,20220602,1,1,6.0
30,3,6,1,1,0,CR¬F,,,20221012,1,4,6.0
31,3,7,1,1,1,CRF,,,20221012,1,4,6.0
47,5,7,1,1,1,CRF,0.0,0.0,20230313,2,13,6.0
45,5,5,1,0,1,C¬RF,0.0,0.0,20221031,2,7,6.0
43,5,3,0,1,1,¬CRF,,,20221031,1,6,6.0
46,5,6,1,1,0,CR¬F,,,20221013,1,5,6.0
47,5,7,1,1,1,CRF,,,20221013,1,5,6.0
40,5,0,0,0,0,¬C¬R¬F,,,20221031,1,6,6.0
41,5,1,0,0,1,¬C¬RF,,,20221031,1,6,6.0
44,5,4,1,0,0,C¬R¬F,0.0,0.0,20221031,2,7,6.0
44,5,4,1,0,0,C¬R¬F,,,20221013,1,5,6.0
43,5,3,0,1,1,¬CRF,1.0,0.25,20221031,2,7,6.0
41,5,1,0,0,1,¬C¬RF,0.0,0.0,20221031,2,7,6.0
40,5,0,0,0,0,¬C¬R¬F,0.0,0.0,20221031,2,7,6.0
46,5,6,1,1,0,CR¬F,1.0,0.1666666666666666,20230313,2,13,6.0
46,5,6,1,1,0,CR¬F,,,20221031,1,6,6.0
45,5,5,1,0,1,C¬RF,,,20221031,1,6,6.0
44,5,4,1,0,0,C¬R¬F,,,20221031,1,6,6.0
42,5,2,0,1,0,¬CR¬F,3.0,0.75,20221031,2,7,6.0
43,5,3,0,1,1,¬CRF,,,20221013,1,5,6.0
42,5,2,0,1,0,¬CR¬F,,,20221031,1,6,6.0
41,5,1,0,0,1,¬C¬RF,,,20221013,1,5,6.0
40,5,0,0,0,0,¬C¬R¬F,,,20221013,1,5,6.0
45,5,5,1,0,1,C¬RF,,,20221013,1,5,6.0
42,5,2,0,1,0,¬CR¬F,,,20221013,1,5,6.0
39,4,7,1,1,1,CRF,,,20221012,1,4,7.0
38,4,6,1,1,0,CR¬F,,,20221012,1,4,7.0
37,4,5,1,0,1,C¬RF,,,20221012,1,4,7.0
36,4,4,1,0,0,C¬R¬F,,,20221012,1,4,7.0
35,4,3,0,1,1,¬CRF,,,20221012,1,4,7.0
34,4,2,0,1,0,¬CR¬F,,,20221012,1,4,7.0
33,4,1,0,0,1,¬C¬RF,,,20221012,1,4,7.0
32,4,0,0,0,0,¬C¬R¬F,,,20221012,1,4,7.0
47,5,7,1,1,1,CRF,0.0,0.0,20220628,1,2,7.0
40,5,0,0,0,0,¬C¬R¬F,250.0,0.7598784194528876,20220628,1,2,7.0
41,5,1,0,0,1,¬C¬RF,0.0,0.0,20220628,1,2,7.0
42,5,2,0,1,0,¬CR¬F,69.0,0.2097264437689969,20220628,1,2,7.0
43,5,3,0,1,1,¬CRF,8.0,0.0243161094224924,20220628,1,2,7.0
44,5,4,1,0,0,C¬R¬F,2.0,0.0060790273556231,20220628,1,2,7.0
45,5,5,1,0,1,C¬RF,0.0,0.0,20220628,1,2,7.0
46,5,6,1,1,0,CR¬F,0.0,0.0,20220628,1,2,7.0
44,5,4,1,0,0,C¬R¬F,,,20221012,1,4,8.0
2,0,2,0,1,0,¬CR¬F,179.0,0.4972222222222222,20220628,2,3,8.0
3,0,3,0,1,1,¬CRF,8.0,0.0222222222222222,20220628,2,3,8.0
0,0,0,0,0,0,¬C¬R¬F,172.0,0.4777777777777778,20220628,2,3,8.0
43,5,3,0,1,1,¬CRF,,,20221012,1,4,8.0
15,1,7,1,1,1,CRF,,,20220602,1,1,8.0
24,3,0,0,0,0,¬C¬R¬F,1.0,0.0172413793103448,20220524,1,0,8.0
25,3,1,0,0,1,¬C¬RF,26.0,0.4482758620689655,20220524,1,0,8.0
26,3,2,0,1,0,¬CR¬F,5.0,0.0862068965517241,20220524,1,0,8.0
27,3,3,0,1,1,¬CRF,25.0,0.4310344827586206,20220524,1,0,8.0
28,3,4,1,0,0,C¬R¬F,0.0,0.0,20220524,1,0,8.0
29,3,5,1,0,1,C¬RF,1.0,0.0172413793103448,20220524,1,0,8.0
30,3,6,1,1,0,CR¬F,0.0,0.0,20220524,1,0,8.0
31,3,7,1,1,1,CRF,0.0,0.0,20220524,1,0,8.0
8,1,0,0,0,0,¬C¬R¬F,,,20220602,1,1,8.0
9,1,1,0,0,1,¬C¬RF,,,20220602,1,1,8.0
10,1,2,0,1,0,¬CR¬F,,,20220602,1,1,8.0
11,1,3,0,1,1,¬CRF,,,20220602,1,1,8.0
12,1,4,1,0,0,C¬R¬F,,,20220602,1,1,8.0
13,1,5,1,0,1,C¬RF,,,20220602,1,1,8.0
14,1,6,1,1,0,CR¬F,,,20220602,1,1,8.0
4,0,4,1,0,0,C¬R¬F,0.0,0.0,20220628,2,3,8.0
5,0,5,1,0,1,C¬RF,0.0,0.0,20220628,2,3,8.0
1,0,1,0,0,1,¬C¬RF,0.0,0.0,20220628,2,3,8.0
7,0,7,1,1,1,CRF,1.0,0.0027777777777777,20220628,2,3,8.0
42,5,2,0,1,0,¬CR¬F,,,20221012,1,4,8.0
41,5,1,0,0,1,¬C¬RF,,,20221012,1,4,8.0
40,5,0,0,0,0,¬C¬R¬F,,,20221012,1,4,8.0
45,5,5,1,0,1,C¬RF,,,20221012,1,4,8.0
46,5,6,1,1,0,CR¬F,,,20221012,1,4,8.0
47,5,7,1,1,1,CRF,,,20221012,1,4,8.0
6,0,6,1,1,0,CR¬F,0.0,0.0,20220628,2,3,8.0
14,1,6,1,1,0,CR¬F,2.0,0.0070671378091872,20220628,2,3,9.0
8,1,0,0,0,0,¬C¬R¬F,40.0,0.1413427561837456,20220628,2,3,9.0
10,1,2,0,1,0,¬CR¬F,221.0,0.7809187279151943,20220628,2,3,9.0
15,1,7,1,1,1,CRF,0.0,0.0,20220628,2,3,9.0
11,1,3,0,1,1,¬CRF,16.0,0.0565371024734982,20220628,2,3,9.0
12,1,4,1,0,0,C¬R¬F,1.0,0.0035335689045936,20220628,2,3,9.0
13,1,5,1,0,1,C¬RF,0.0,0.0,20220628,2,3,9.0
9,1,1,0,0,1,¬C¬RF,3.0,0.0106007067137809,20220628,2,3,9.0
16,2,0,0,0,0,¬C¬R¬F,5.0,0.032258064516129,20220628,2,3,10.0
17,2,1,0,0,1,¬C¬RF,3.0,0.0193548387096774,20220628,2,3,10.0
23,2,7,1,1,1,CRF,0.0,0.0,20220628,2,3,10.0
22,2,6,1,1,0,CR¬F,0.0,0.0,20220628,2,3,10.0
21,2,5,1,0,1,C¬RF,0.0,0.0,20220628,2,3,10.0
20,2,4,1,0,0,C¬R¬F,0.0,0.0,20220628,2,3,10.0
19,2,3,0,1,1,¬CRF,31.0,0.2,20220628,2,3,10.0
18,2,2,0,1,0,¬CR¬F,116.0,0.7483870967741936,20220628,2,3,10.0
35,4,3,0,1,1,¬CRF,4.0,0.0588235294117647,20220524,1,0,12.0
37,4,5,1,0,1,C¬RF,0.0,0.0,20220524,1,0,12.0
33,4,1,0,0,1,¬C¬RF,0.0,0.0,20220524,1,0,12.0
32,4,0,0,0,0,¬C¬R¬F,3.0,0.0441176470588235,20220524,1,0,12.0
36,4,4,1,0,0,C¬R¬F,0.0,0.0,20220524,1,0,12.0
34,4,2,0,1,0,¬CR¬F,59.0,0.8676470588235294,20220524,1,0,12.0
39,4,7,1,1,1,CRF,0.0,0.0,20220524,1,0,12.0
30,3,6,1,1,0,CR¬F,0.0,0.0,20220628,2,3,12.0
24,3,0,0,0,0,¬C¬R¬F,0.0,0.0,20220628,2,3,12.0
38,4,6,1,1,0,CR¬F,2.0,0.0294117647058823,20220524,1,0,12.0
25,3,1,0,0,1,¬C¬RF,2.0,0.0194174757281553,20220628,2,3,12.0
26,3,2,0,1,0,¬CR¬F,64.0,0.6213592233009708,20220628,2,3,12.0
27,3,3,0,1,1,¬CRF,37.0,0.3592233009708738,20220628,2,3,12.0
28,3,4,1,0,0,C¬R¬F,0.0,0.0,20220628,2,3,12.0
31,3,7,1,1,1,CRF,0.0,0.0,20220628,2,3,12.0
29,3,5,1,0,1,C¬RF,0.0,0.0,20220628,2,3,12.0
39,4,7,1,1,1,CRF,1.0,0.0714285714285714,20220628,2,3,14.0
32,4,0,0,0,0,¬C¬R¬F,0.0,0.0,20220628,2,3,14.0
33,4,1,0,0,1,¬C¬RF,0.0,0.0,20220628,2,3,14.0
34,4,2,0,1,0,¬CR¬F,4.0,0.2857142857142857,20220628,2,3,14.0
35,4,3,0,1,1,¬CRF,9.0,0.6428571428571429,20220628,2,3,14.0
37,4,5,1,0,1,C¬RF,0.0,0.0,20220628,2,3,14.0
38,4,6,1,1,0,CR¬F,0.0,0.0,20220628,2,3,14.0
36,4,4,1,0,0,C¬R¬F,0.0,0.0,20220628,2,3,14.0
5,0,5,1,0,1,C¬RF,,,20220602,1,1,16.0
4,0,4,1,0,0,C¬R¬F,,,20220602,1,1,16.0
7,0,7,1,1,1,CRF,,,20220602,1,1,16.0
0,0,0,0,0,0,¬C¬R¬F,,,20220602,1,1,16.0
1,0,1,0,0,1,¬C¬RF,,,20220602,1,1,16.0
2,0,2,0,1,0,¬CR¬F,,,20220602,1,1,16.0
3,0,3,0,1,1,¬CRF,,,20220602,1,1,16.0
6,0,6,1,1,0,CR¬F,,,20220602,1,1,16.0
40,5,0,0,0,0,¬C¬R¬F,,,20220628,2,3,20.0
41,5,1,0,0,1,¬C¬RF,,,20220628,2,3,20.0
42,5,2,0,1,0,¬CR¬F,,,20220628,2,3,20.0
44,5,4,1,0,0,C¬R¬F,,,20220628,2,3,20.0
45,5,5,1,0,1,C¬RF,,,20220628,2,3,20.0
47,5,7,1,1,1,CRF,,,20220628,2,3,20.0
43,5,3,0,1,1,¬CRF,,,20220628,2,3,20.0
46,5,6,1,1,0,CR¬F,,,20220628,2,3,20.0
45,5,5,1,0,1,C¬RF,,,20220524,1,0,50.0
47,5,7,1,1,1,CRF,,,20220524,1,0,50.0
46,5,6,1,1,0,CR¬F,,,20220524,1,0,50.0
40,5,0,0,0,0,¬C¬R¬F,,,20220524,1,0,50.0
41,5,1,0,0,1,¬C¬RF,,,20220524,1,0,50.0
42,5,2,0,1,0,¬CR¬F,,,20220524,1,0,50.0
43,5,3,0,1,1,¬CRF,,,20220524,1,0,50.0
44,5,4,1,0,0,C¬R¬F,,,20220524,1,0,50.0
